"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","场景分类","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例","执行方式","合入阶段","执行人","责任人","自动化-是否已实现"
"1693083","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/104X/设置界面高级设置(#116119)","","背景模糊","","1. 打开终端，点击右键-设置，在弹出的设置对话框中，查看“背景模糊”默认值
2. 勾选“背景模糊”，查看终端显示
3. 取消勾选“背景模糊”，查看终端背景显示","1. 默认不勾选“背景模糊”
2. 如果透明度是1，终端背景不模糊显示；调节透明度后，背景模糊显示
3. 终端背景不模糊显示","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段
冒烟测试阶段","正常","6","9","3","通过","田鑫(桌面系统测试部)","2024-08-15","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653625","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","查找显示","","1. 打开终端，右键菜单选择搜索，检查搜索显示
2. 使用快捷键ctrl+alt+f
3. 窗口显示多个分屏时，检查搜索显示","1. 在右上角显示：放大镜、搜索输入框、向上搜索向下搜索按钮
2. 调出搜索界面
3. 始终显示在右上角","1. 
2. 
3.","自动化","2","功能测试","","功能测试阶段","正常","1","3","3","通过","熊能","2024-07-19","许琪","2026-04-01","1","","","","游伟","","",""
"1653623","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","查找输入框","","1. 打开搜索时，检查光标焦点
2. 输入任意字符：123ASsdh周圣》?:%$%^&
3. 输入很长的字符
4. 输入内容后
5. 点击x","1. 焦点聚焦在输入框
2. 可以正常输入，无字符校验
3. 可以正常输入，没有长度校验
4. 会有清空按钮显示
5. 输入内容被清空；可以重新输入","1. 
2. 
3. 
4. 
5.","自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653621","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","查找过程","","1. 输入搜索内容后，按下回车
2. 回车搜索，检查搜索过程
3. 符合搜索的内容
4. 当窗口有多个分屏时，检查搜索对象
5. 没有对应搜索内容时","1. 开始搜索
2. 从上往下搜索
3. 关键字被高亮选中
4. 当前光标在哪个分屏，就会只搜索哪个分屏
5. 没有提示，搜索框亮红","1. 
2. 
3. 
4. 
5.","自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653619","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","向上查找","","1. 点击向上搜索按钮
2. 使用快捷键shift+enter/shift+return","1. 向上检索
2. 向上检索","1. 
2.","自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2026-01-29","1","","","","游伟","","",""
"1653617","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","向下查找","","1. 点击向下搜索，
2. 键盘enter回车搜索","1. 向下检索并选中符合条件的搜索内容
2. 默认从上往下搜索，每次点击一次，往下检索","1. 
2.","自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653615","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","查找隐藏","","1. 打开查找框按ESC
2. 打开查找框鼠标点击终端其他地方","1. 搜索界面被隐藏
2. 搜索界面被隐藏","1. 
2.","自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653613","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/查找(#116101)","","设置标签标题编号后，对标签页进行分屏操作","设置中标签的标签标题格式为会话编号%#","1. 打开终端，进行横向分屏/纵向分屏操作","1. 1当前的标签会话编号也会随之递增，且会话编号显示的是所选的终端的会话编号","1.","1040一期需求、自动化","3","功能测试","","功能测试阶段","正常","0","5","1","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653611","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/右键菜单(#116103)","","右键菜单","","1. 打开终端，系统有信息复制到粘贴板上时，且开启最少分屏，空白处右键菜单
2. 注销系统或者重启后，不做其他任何操作，右键
3. 登录远程服务器，右键菜单显示
4. 打开雷神终端，空白处右键","1. 粘贴、横向分屏、纵向分屏、关闭窗口、关闭其他窗口、新建工作区、全屏搜索远程管理、设置
2. 没有粘贴和关闭其他窗口，其他都有
3. 粘贴、横向分屏、纵向分屏、关闭窗口、关闭其他窗口、新建工作区、全屏搜索远程管理、上传文件、下载文件、设置
4. 粘贴、横向分屏、纵向分屏、关闭窗口、关闭其他窗口、新建工作区、全屏、搜索、远程管理、上传文件、下载文件、设置","1. 
2. 
3. 
4.","1020、自动化、门禁","2","功能测试","","功能测试阶段","正常","1","4","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653609","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/右键菜单(#116103)","","链接","","1. 打开终端，光标指在超链接处（不选中）
2. 点击右键菜单
3. 打开链接
4. 复制链接","1. 显示超链接小手
2. 弹出菜单栏
3. 跳转链接显示内容
4. 复制链接成功","1. 
2. 
3. 
4.","1020、自动化","2","功能测试","","功能测试阶段","正常","0","3","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653607","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/右键菜单(#116103)","","分割线","","1. 注销或重启后打开终端，右键菜单，不做其他任何操作
2. 复制信息到剪切板，右键菜单，不做其他任何操作
3. 终端添加一个分屏窗口，右键菜单
4. 进行分屏、关闭分屏窗口、新建工作区等操作","1. 没有粘贴和关闭其他窗口；两个选项其他按摘要中的顺序排列分割
2. 右键菜单中显示粘贴，选项，独自一个分割区
3. 右键菜单显示;关闭其他其他窗口;选项处于横纵向分屏的分割区
4. 排序顺序未发生异变；分割线也未发生异变","1. 
2. 
3. 
4.","1020、自动化","3","功能测试","","功能测试阶段","正常","0","6","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653605","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/右键菜单(#116103)","","重命名标题","","1. 打开终端，点击右键-重命名标题，查看软件显示
2. 弹出输入对话框后，按ESC键，查看对话框显示
3. 弹出输入对话框后，直接点击重命名，查看标题显示
4. 弹出输入对话框后，删除原来的标题，点击重命名，查看标题栏显示
5. 在对话框中输入任意长度字符，查看软件显示
6. 重命名标题栏后，登录远程服务器，查看标题栏显示
7. 重命名标题栏后，切换shell路径，查看标题栏显示","1. 软件会自动弹出输入对话框
2. 对话框自动消失
3. 标题栏显示不变
4. 标题栏显示不变
5. 可以输入任意长度，但在标题栏显示时，会以...表示
6. 标题栏显示不变
7. 标题栏显示不变","1. 
2. 
3. 
4. 
5. 
6. 
7.","1020、自动化","2","功能测试","","功能测试阶段","正常","4","4","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653603","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/工作区(#116105)","","切换工作区","","1. 打开终端，新建多个工作区，鼠标点击各个工作区名称
2. 使用快捷键切换：ctrl+tab/shift+ctrl+tab
3. 使用Ctrl+Shift + 1 ~ Ctrl+Shift + 9，切换工作区","1. 点击可切换不同工作区
2. 依次切换工作区
3. 数字表示不同工作区；当⼯作区的数量不⼤于 9 时， Ctrl+ Shift + 1 ~ Ctrl+ Shift + 9 分别切换到数字对应的标签， 当⼯作区的数量⼤于 9 时， Ctrl+ Shift + 9 切换到最后⼀个标签，⽽不是第 9 个标签","1. 
2. 
3.","1020、1030、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653601","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/工作区(#116105)","","删除工作区","","1. 打开终端，新建多个工作区，鼠标点击工作区X图标
2. 使用快捷键alt+w","1. 删除工作区
2. 删除工作区","1. 
2.","1020、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653599","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/工作区(#116105)","","窗口删除","","1. 打开终端，新建分屏窗口
2. 右键菜单选择关闭窗口或关闭其它窗口
3. 仍然有程序运行时做关闭窗口
4. 点击取消
5. 点击确定","1. 分屏正常
2. 工作区关闭
3. 弹出退出保护弹框
4. 终端窗口不变
5. 终端窗口强制退出","1. 
2. 
3. 
4. 
5.","1020、1030、自动化","3","功能测试","","功能测试阶段","正常","0","5","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","胡诗敏","","",""
"1653597","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/102X/自定义命令(#116107)","","列表","","1. 每次成功添加命令后
2. 对已有的自定义命令进行编辑
3. 列表有较多自定义命令时，进行下拉/上拉
4. 列表内自定义很多时时，新建自定义命令","1. 自动在列表最下面生成
2. 编辑后自动排在最下方
3. 可通过下拉/上拉查看所有的自定义命令
4. 新建成功时列表自动往下拉移动，从而可在列表内自动看到新建的自定义命令","1. 
2. 
3. 
4.","1020、自动化","2","功能测试","","功能测试阶段","正常","0","2","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653595","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互主界面只有一个工作区","","1. 键盘按Ctrl+Alt+T打开终端，再按Super+Tab
2. 按Space/Enter键
3. 按Super+Tab焦点跳出终端，键盘继续按Tab键
（PS：测试时需要测试Shift+Tab反向切换）","1. 跳转到+按钮
2. 新建一个新的工作区，焦点返回到终端
3. 依次到+按钮、主菜单、最小化、最大化、关闭按钮，可循切换到当前标签栏","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","1","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653593","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互主界面有多个工作区","","1. 键盘按Ctrl+Alt+T打开终端，新建多个工作区
2. 按Super+Tab键
3. 键盘按Ctrl+shift+1~Ctrl+shift+9
4. Super+Tab跳出焦点到“+”按钮，键盘继续按Tab键
（PS：测试时需要测试Shift+Tab反向切换）","1. 标签栏出现< >箭头
2. 跳转到“+”按钮
3. Ctrl+shift+1切换到第一个标签页，Ctrl+shift+9切换到最后一个标签页
4. 按Tab依次跳转到+按钮，主菜单、最小化、最大化、关闭按钮，可循切换到当前标签栏","1. 
2. 
3. 
4.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653591","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在最小化，最大化，关闭按钮","","1. 按Tab键焦点在最小化、最大化，键盘按Enter键
2. 按Tab焦点在关闭按钮，键盘按Enter键
3. 有程序运行时，按Tab焦点在关闭按钮，键盘按Enter键
4. 键盘按Tab键，依次切换右上角X键、取消、关闭按钮
5. 执行取消或右上角X键
（PS：测试时需要测试Shift+Tab反向切换）","1. 窗口最小化在Dock栏
2. 窗口关闭
3. 弹出退出保护弹框
4. 选项有Focus效果
5. 焦点回到X按钮","1. 
2. 
3. 
4. 
5.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653589","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互Tab键切换到主菜单按Enter键","","1. Tab键切换到主菜单按Enter键
2. 按Tab键或点击“↑”、“↓“方向键
3. 选择任意功能按Enter键
4. 按Enter或方向“→”键
5. 按“↑”、“↓“方向键或Tab键
6. 按“←”方向键
（PS：测试时需要测试Shift+Tab反向切换）","1. 显示菜单列表
2. 可选择新建窗口、自定义命令、远程管理、设置、主题、帮助、关于、退出功能
3. 可执行操作（新建窗口、自定义命令、远程管理、设置、主题、帮助、关于、退出）
4. 可展开主题选项
5. 可以选择主题
6. 收起主题列表","1. 
2. 
3. 
4. 
5. 
6.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","6","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653587","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在标签栏","","1. 按Super+Tab键焦点在标签栏+按钮，主菜单、最小化、最大化、关闭按钮
2. 按Tab键
3. 按ESC键
4. 按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 焦点在标签栏+按钮，选项有Foucs效果
2. 焦点依次切换到主菜单、最小化、最大化、关闭按钮，选项有Foucs效果
3. 焦点回到终端
4. 执行各菜单功能","1. 
2. 
3. 
4.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","4","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653585","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在插件","","1. 按Tab键焦点在查找、编码、远程管理、自定义命令插件
2. 键盘按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 选项有Foucs效果
2. 焦点返回到终端","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653583","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在终端，按“→”方向键或Alt+M快捷键","","1. 打开终端终端，按键盘菜单键
2. Alt+M快捷键
3. 按“↑”、“↓“方向键
4. 按Tab键
5. 按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 调出右键菜单
2. 调出右键菜单
3. 可切换菜单
4. 可切换菜单
5. 执行选择的选项","1. 
2. 
3. 
4. 
5.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653581","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互选中文字功能","","1. 打开正常窗口，键盘按Shift+“←”
2. 键盘按Shift+“→”方向键
3. 使用右键菜单将正常窗口做横向分屏或纵向分屏
（PS：测试时需要测试Shift+Tab反向切换）","1. 选择光标前面字符
2. 选择光标后面字符
3. 分屏功能正常，没有获得焦点的分屏窗口不支持选中文字功能","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653579","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互设置界面Tab键切换顺序","","1. 设置界面，第一次按Tab键
2. 第二次按Tab键
3. 第三次按Tab键
4. 第四次按Tab键
5. 按Tab键/“↑”、“↓“方向键
（PS：测试时需要测试Shift+Tab反向切换）","1. 右上角X键有Focus效果
2. 焦点聚焦到左侧，左侧列表，按“↑”、“↓“方向键切换菜单
3. 焦点到滚动条，按“↑”、“↓“方向键可以上下滚动
4. 依次切换到透明度、字体、字体大小、标签标题格式输入框、插入选择框、远程标签标题格式输入框、插入选择框、快捷键、光标风格、光标闪烁复选框、选中文字时自动复制到剪贴板复选框、按键时滚动复选框、输出时滚动复选框、启动时使用窗口、背景模糊复选框、丢失焦点后隐藏雷神窗口复选框、shell配置选择框、禁用ctrl+S和ctrl+Q控制复选框、恢复默认（到恢复默认时循环到右上角X）
5. 从上往下切换菜单","1. 
2. 
3. 
4. 
5.","SP3、1040、自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653577","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在光标在透明度","","1. 进入设置，Tab键切换到透明度
2. 键盘按“←”、“→”“↑”、“↓“方向键
（PS：测试时需要测试Shift+Tab反向切换）","1. 透明度按钮有Focus效果
2. 可调节透明度","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653575","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在字体","","1. 进入设置，Tab键跳转到字体
2. 按Enter键
3. 按“↑”、“↓“方向键
4. 点击Enter键
5. 在列表显示时按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 字体框有Focus效果
2. 显示字体列表
3. 切换选择字体
4. 执行选择字体，并且列表收起
5. 字体列表收起","1. 
2. 
3. 
4. 
5.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653573","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在字体大小","","1. 进入设置Tab键切换到字体大小
2. 键盘按“↑”、“↓“方向键
3. 输入字体，按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 字体设置框有Focus效果
2. “+”、“-”按钮触发字体增大与减小操作
3. 字体框有仍然有Focus效果","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653571","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在快捷键","","1. 键入设置，Tab键切换到快捷键
2. 按Enter键
3. 输入新的快捷键
（PS：测试时需要测试Shift+Tab反向切换）","1. 输入框有Focus效果
2. 提示“请输入新的快捷键”，并有Focus效果
3. 输入正常，并且Focus效果仍然在","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653569","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在光标","","1. 进入设置，焦点在光标
2. 键盘按“→”方向键
3. 键盘按“←”方向键
（PS：测试时需要测试Shift+Tab反向切换）","1. 光标风格第一个有Focus效果
2. 向右切换光标风格，按space或者空格键执行选中
3. 向左切换光标风格，按space或者空格键执行选中","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653567","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在光标闪烁复选框","","1. 进入设置，焦点在光标闪烁复选框
2. 键盘按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 复选框有Focus效果
2. 取消/选中复选框","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653565","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在选中文字时自动复制到剪贴板复选框","","1. 进入设置，焦点在选中文字时自动复制到剪贴板复选框
2. 键盘按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 复选框有Focus效果
2. 取消/选中复选框","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
